strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
JF912186	JF912186	1994-XX-XX	Brazil				11004	Human	Homo sapiens	Palacios et al	2011-05-03
MW158361	MW158361	1995-05-19	Peru				10665	Human	Homo sapiens	Tesh et al	2020-10-15
JX898872	JX898872	1995-XX-XX	Senegal				10859	Mosquito	Aedes aegypti	Stock et al	2012-10-03
JX898871	JX898871	1995-XX-XX	Senegal				10859	Mosquito	Aedes aegypti	Stock et al	2012-10-03
JX898868	JX898868	1995-XX-XX	Senegal				10862	Human	Homo sapiens	Stock et al	2012-10-03
MW158348	MW158348	1995-XX-XX	Trinidad and Tobago				10448	Mosquito	Haemagogus sp.	Tesh et al	2020-10-15
JX898870	JX898870	1996-XX-XX	Senegal				10862	Mosquito	Aedes furcifer	Stock et al	2012-10-03
MW158362	MW158362	1997-07-01	Ecuador				10735	Human	Homo sapiens	Tesh et al	2020-10-15
MW158359	MW158359	1998-01-20	Peru				10668	Human	Homo sapiens	Tesh et al	2020-10-15
MF004382	MF004382	1999-01-01	Bolivia				10795	Human	Homo sapiens	Baronti et al	2017-04-29
ON022720	ON022720	2000-01-18	Brazil	Sudeste	São Paulo	Campinas	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022717	ON022717	2000-01-18	Brazil	Sudeste	São Paulo	São Paulo	10172	Human	Homo sapiens	Hill et al	2022-03-16
MW158342	MW158342	2000-02-07	Brazil				10859	Non-human primate	Alouatta sp.	Tesh et al	2020-10-15
ON022718	ON022718	2000-04-27	Brazil	Sudeste	São Paulo	São José do Rio Preto	10172	Human	Homo sapiens	Hill et al	2022-03-16
JF912188	JF912188	2000-XX-XX	Brazil				10817	Human	Homo sapiens	Palacios et al	2011-05-03
JF912187	JF912187	2000-XX-XX	Brazil				11008	Human	Homo sapiens	Palacios et al	2011-05-03
JX898875	JX898875	2000-XX-XX	Senegal				10857	Mosquito	Aedes furcifer	Stock et al	2012-10-03
JX898873	JX898873	2000-XX-XX	Senegal				10862	Mosquito	Aedes furcifer	Stock et al	2012-10-03
JX898874	JX898874	2000-XX-XX	Senegal				10861	Mosquito	Aedes taylori	Stock et al	2012-10-03
MG969501	MG969501	2001-03-07	Brazil				11007	Human	Homo sapiens; 39-years old man infected in the sylvatic yellow fever cycle at Bom Despacho, State of Minas Gerais	Bonaldo et al	2018-02-16
JF912189	JF912189	2001-XX-XX	Brazil				11008	Mosquito	Haemagogus leucocelaenus	Palacios et al	2011-05-03
JX898876	JX898876	2001-XX-XX	Senegal				10859	Mosquito	Aedes furcifer	Stock et al	2012-10-03
JF912190	JF912190	2002-XX-XX	Brazil				10859	Human	Homo sapiens	Palacios et al	2011-05-03
MH018100	MH018100	2003-03-15	Brazil				10169	Human	Homo sapiens	Faria et al	2018-03-02
MH018101	MH018101	2003-08-15	Brazil				10169	Human	Homo sapiens	Faria et al	2018-03-02
ON022716	ON022716	2004-11-26	Brazil				10172	Human	Homo sapiens	Hill et al	2022-03-16
MW158358	MW158358	2004-XX-XX	Peru				10376	Human	Homo sapiens	Tesh et al	2020-10-15
DQ118157	DQ118157	2004-XX-XX	Spain				10862			Domingo Carrasco et al	2005-07-06
KM388817	KM388817	2004-XX-XX	Venezuela				10236	Non-human primate	Alouatta seniculus	Auguste et al	2014-08-22
MW158349	MW158349	2004-XX-XX	Venezuela				10673	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
MW158350	MW158350	2004-XX-XX	Venezuela				10659	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
JX898877	JX898877	2005-XX-XX	Senegal				10862	Mosquito	Aedes furcifer	Stock et al	2012-10-03
JX898878	JX898878	2005-XX-XX	Senegal				10862	Mosquito	Aedes furcifer	Stock et al	2012-10-03
JX898880	JX898880	2005-XX-XX	Senegal				10862	Mosquito	Aedes luteocephalus	Stock et al	2012-10-03
JX898881	JX898881	2005-XX-XX	Senegal				10862	Mosquito	Aedes luteocephalus	Stock et al	2012-10-03
JX898879	JX898879	2005-XX-XX	Senegal				10862	Mosquito	Aedes taylori	Stock et al	2012-10-03
MW158352	MW158352	2005-XX-XX	Venezuela				10763	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
MW158351	MW158351	2005-XX-XX	Venezuela				10671	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
KM388814	KM388814	2005-XX-XX	Venezuela				10236	Human	Homo sapiens	Auguste et al	2014-08-22
MW158354	MW158354	2005-XX-XX	Venezuela				10705	Human	Homo sapiens	Tesh et al	2020-10-15
MW158353	MW158353	2005-XX-XX	Venezuela				10677	Human	Homo sapiens	Tesh et al	2020-10-15
KM388818	KM388818	2006-XX-XX	Venezuela				10236	Non-human primate	Alouatta seniculus	Auguste et al	2014-08-22
MW158355	MW158355	2006-XX-XX	Venezuela				10675	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
GQ379162	GQ379162	2007-10-01	Peru				10862	Human	Homo sapiens	Lanciotti et al	2009-07-13
GQ379163	GQ379163	2007-10-01	Peru				10862	Human	Homo sapiens	Lanciotti et al	2009-07-13
KM388815	KM388815	2007-XX-XX	Venezuela				10236	Non-human primate	Alouatta seniculus	Auguste et al	2014-08-22
MW158356	MW158356	2007-XX-XX	Venezuela				10668	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
KY861728	KY861728	2008-02-09	Brazil	Sul	Rio Grande do Sul	Caibaté	11008	Non-human primate	Alouatta sp. (howler monkey)	Bonaldo et al	2017-04-01
MW158365	MW158365	2008-12-05	Trinidad and Tobago				10668	Mosquito	Mansonia titillans	Tesh et al	2020-10-15
MW158367	MW158367	2009-01-16	Trinidad and Tobago				10666	Mosquito	Coquillettidia venezuelensis	Tesh et al	2020-10-15
MW158366	MW158366	2009-01-16	Trinidad and Tobago				10659	Mosquito	Culex spissipes	Tesh et al	2020-10-15
MW158364	MW158364	2009-01-22	Trinidad and Tobago				10622	Mosquito	Coquillettidia venezuelensis	Tesh et al	2020-10-15
HM582851	HM582851	2009-XX-XX	Trinidad and Tobago				10236	Non-human primate	Alouatta seniculus	Auguste et al	2010-06-21
JN620362	JN620362	2010-10-01	Uganda				10820	Human	Homo sapiens	McMullan et al	2011-08-25
KM388816	KM388816	2010-XX-XX	Venezuela				10236	Non-human primate	Alouatta seniculus	Auguste et al	2014-08-22
MW158357	MW158357	2010-XX-XX	Venezuela				10660	Non-human primate	Alouatta seniculus	Tesh et al	2020-10-15
MW158360	MW158360	2011-03-01	Peru				10845	Human	Homo sapiens	Tesh et al	2020-10-15
JX949181	JX949181	2012-07-03	USA				10815			Amanna et al	2012-10-10
OQ077983	OQ077983	2012-XX-XX	Uganda				10741	Human	Homo sapiens	Ashraf et al	2022-12-01
MK333804	MK333804	2015-08-17	Brazil	Centro-Oeste	Goiás	Novo Brasil	11007	Non-human primate	Sapajus libidinosus	Pereira Ribeiro et al	2018-12-21
MF370549	MF370549	2015-08-26	Brazil				10581	Non-human primate	Monkey	Cardoso et al	2017-06-18
MF926243	MF926243	2015-XX-XX	France				10195	Other	hamster	Klitting et al	2017-09-07
KU949599	KU949599	2016-03-09					10759			Zhang et al	2016-03-17
KU921608	KU921608	2016-03-10	China				10823	Human	Homo sapiens	Liu et al	2016-03-13
KY495641	KY495641	2016-03-11	China				10783	Human	Homo sapiens	Bi et al	2017-01-20
KX268355	KX268355	2016-03-11	China				10825	Human	Homo sapiens	Liu et al	2016-05-21
KX010994	KX010994	2016-03-11	China				10823	Human	Homo sapiens	Pan et al	2016-03-25
KY873606	KY873606	2016-03-14	China				9519	Human	Homo sapiens	Liu et al	2017-04-01
KX982182	KX982182	2016-03-16	Angola				10623	Human	Homo sapiens	Simon-Loriere et al	2016-10-12
KX010995	KX010995	2016-03-17	China				10822	Human	Homo sapiens	Cui et al	2016-03-25
MG589641	MG589641	2016-03-18	China				10789	Human	Homo sapiens	Bi et al	2017-11-28
KX010996	KX010996	2016-03-18	China				10823	Human	Homo sapiens	Cui et al	2016-03-25
KX027336	KX027336	2016-03-19	China				10823	Human	Homo sapiens	Cui et al	2016-04-06
KY587416	KY587416	2016-03-20	China				10763	Human	Homo sapiens	Tang et al	2017-02-07
KY873607	KY873607	2016-03-21	China				10744	Human	Homo sapiens	Liu et al	2017-04-01
KY873608	KY873608	2016-03-23	China				10345	Human	Homo sapiens	Liu et al	2017-04-01
MF370534	MF370534	2016-04-05	Brazil				11007	Non-human primate	Callithrix penicillata	Cruz et al	2017-06-18
MF370535	MF370535	2016-08-30	Brazil				10897	Non-human primate	Alouatta sp.	Cruz et al	2017-06-18
MF370536	MF370536	2016-09-02	Brazil				11007	Non-human primate	Alouatta sp.	Cruz et al	2017-06-18
MT497520	MT497520	2016-10-10	Brazil	Sudeste	São Paulo	Potirendaba	10172	Non-human primate	Sapajus sp.	Hill et al	2020-05-19
MT497521	MT497521	2016-10-13	Brazil	Sudeste	São Paulo	Pindorama	10172	Non-human primate	Alouatta sp.	Hill et al	2020-05-19
MW034590	MW034590	2016-11-01	Brazil				10945	Non-human primate	Alouatta caraya	Siconelli et al	2020-09-24
ON022302	ON022302	2016-11-03	Brazil	Sudeste	São Paulo	Ribeirão Preto	10233	Mosquito	mosquito	Hill et al	2022-03-16
ON022300	ON022300	2016-11-03	Brazil	Sudeste	São Paulo	Ribeirão Preto	10122	Mosquito	mosquito	Hill et al	2022-03-16
ON022301	ON022301	2016-11-03	Brazil	Sudeste	São Paulo	Ribeirão Preto	10130	Mosquito	mosquito	Hill et al	2022-03-16
ON022703	ON022703	2016-11-04	Brazil	Sudeste	São Paulo	Adolfo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022702	ON022702	2016-11-07	Brazil	Sudeste	São Paulo	Pindorama	10172	Non-human primate	Sapajus	Hill et al	2022-03-16
MT497522	MT497522	2016-11-15	Brazil	Sudeste	São Paulo	Jaboticabal	10172	Non-human primate	Alouatta sp.	Hill et al	2020-05-19
MT497523	MT497523	2016-11-16	Brazil	Sudeste	São Paulo	Catanduva	10172	Non-human primate	Alouatta sp.	Hill et al	2020-05-19
ON022288	ON022288	2016-11-16	Brazil	Sudeste	São Paulo	Catanduva	10183	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022698	ON022698	2016-11-16	Brazil	Sudeste	São Paulo	Jaboticabal	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH666056	MH666056	2016-11-16	Brazil				10236	Non-human primate	Alouatta sp.	Cunha et al	2018-07-24
ON022700	ON022700	2016-11-17	Brazil	Sudeste	São Paulo	Catanduva	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022701	ON022701	2016-11-17	Brazil	Sudeste	São Paulo	Catiguá	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022688	ON022688	2016-11-21	Brazil	Sudeste	São Paulo	Severínia	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022686	ON022686	2016-12-09	Brazil	Sudeste	São Paulo	Jaboticabal	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MT497524	MT497524	2016-12-12	Brazil	Sudeste	São Paulo	Catiguá	10172	Non-human primate	Alouatta sp.	Hill et al	2020-05-19
ON022600	ON022600	2016-12-13	Brazil	Sudeste	São Paulo	Jaboticabal	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
ON022311	ON022311	2016-12-19	Brazil	Sudeste	São Paulo	Tabapuã	10228	Non-human primate	Non-human primate	Hill et al	2022-03-16
MH666058	MH666058	2016-12-19	Brazil				10239	Non-human primate	Sapajus sp.	Cunha et al	2018-07-24
MH633689	MH633689	2016-XX-XX	China				10243	Human	Homo sapiens	Chen et al	2018-07-17
MH633684	MH633684	2016-XX-XX	China				10420	Human	Homo sapiens	Chen et al	2018-07-17
MH633686	MH633686	2016-XX-XX	China				10420	Human	Homo sapiens	Chen et al	2018-07-17
MH633687	MH633687	2016-XX-XX	China				10568	Human	Homo sapiens	Chen et al	2018-07-17
MH633690	MH633690	2016-XX-XX	China				10221	Human	Homo sapiens	Chen et al	2018-07-17
MH633691	MH633691	2016-XX-XX	China				10838	Human	Homo sapiens	Chen et al	2018-07-17
MH633688	MH633688	2016-XX-XX	China				10420	Human	Homo sapiens	Chen et al	2018-07-17
MH633692	MH633692	2016-XX-XX	China				10310	Human	Homo sapiens	Chen et al	2018-07-17
MH633685	MH633685	2016-XX-XX	China				10420	Human	Homo sapiens	Chen et al	2018-07-17
OM938988	OM938988	2016-XX-XX	France				10862	Other	vero cells	Esson et al	2022-03-07
MH560359	MH560359	2017-01-01	Brazil				10780	Human	Homo sapiens	Figueiredo et al	2018-06-28
MH018089	MH018089	2017-01-02	Brazil	Sudeste	Minas Gerais	Ladainha	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018072	MH018072	2017-01-07	Brazil	Sudeste	Minas Gerais	Itambacuri	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018077	MH018077	2017-01-07	Brazil	Sudeste	Minas Gerais	Ladainha	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018068	MH018068	2017-01-09	Brazil	Sudeste	Minas Gerais	Caratinga	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018087	MH018087	2017-01-10	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10213	Human	Homo sapiens	Faria et al	2018-03-02
MF370532	MF370532	2017-01-10	Brazil				11005	Human	Homo sapiens	Cruz et al	2017-06-18
MF370533	MF370533	2017-01-11	Brazil				10881	Human	Homo sapiens	Cruz et al	2017-06-18
MH018090	MH018090	2017-01-12	Brazil	Sudeste	Minas Gerais	Caratinga	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018106	MH018106	2017-01-13	Brazil	Sudeste	Minas Gerais	Coronel Murta	10213	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MH018085	MH018085	2017-01-13	Brazil	Sudeste	Minas Gerais	Imbé de Minas	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH484426	MH484426	2017-01-13	Brazil	Sudeste	Minas Gerais	Itamarandiba	9758	Non-human primate	monkey	Faria et al	2018-06-13
MH018096	MH018096	2017-01-13	Brazil	Sudeste	Minas Gerais	José Raydan	10213	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MH018069	MH018069	2017-01-14	Brazil	Sudeste	Minas Gerais	Ladainha	9509	Human	Homo sapiens	Faria et al	2018-03-02
MH018074	MH018074	2017-01-14	Brazil	Sudeste	Minas Gerais	Novo Cruzeiro	10213	Human	Homo sapiens	Faria et al	2018-03-02
MF370530	MF370530	2017-01-15	Brazil				10885	Mosquito	Haemagogus janthinomys	Cruz et al	2017-06-18
MK583152	MK583152	2017-01-16	Brazil	Sudeste	São Paulo	Ibiúna	10984	Human	Homo sapiens	Cunha et al	2019-02-28
MF465805	MF465805	2017-01-17	Brazil				10948	Human	Homo sapiens	Meneguin et al	2017-07-09
MF370537	MF370537	2017-01-17	Brazil				11007	Non-human primate	Monkey	Cruz et al	2017-06-18
MH018078	MH018078	2017-01-18	Brazil	Sudeste	Minas Gerais	Novo Cruzeiro	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018075	MH018075	2017-01-18	Brazil	Sudeste	Minas Gerais	Poté	9519	Human	Homo sapiens	Faria et al	2018-03-02
MH018086	MH018086	2017-01-19	Brazil	Sudeste	Minas Gerais	Ladainha	9519	Human	Homo sapiens	Faria et al	2018-03-02
MH018095	MH018095	2017-01-19	Brazil	Sudeste	Minas Gerais	Sabinópolis	10213	Non-human primate	Callithrix sp.	Faria et al	2018-03-02
MH018076	MH018076	2017-01-19	Brazil	Sudeste	Minas Gerais	Setubinha	10213	Human	Homo sapiens	Faria et al	2018-03-02
ON022531	ON022531	2017-01-20	Brazil	Sudeste	Espírito Santo	Brejetuba	10172	Human	Homo sapiens	Hill et al	2022-03-16
MH018093	MH018093	2017-01-20	Brazil	Sudeste	Minas Gerais	Santa Bárbara do Leste	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018073	MH018073	2017-01-20	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10213	Human	Homo sapiens	Faria et al	2018-03-02
MF370538	MF370538	2017-01-20	Brazil				11007	Non-human primate	Callithrix penicillata	Cruz et al	2017-06-18
MH018070	MH018070	2017-01-21	Brazil	Sudeste	Minas Gerais	Itambacuri	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018088	MH018088	2017-01-21	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10213	Human	Homo sapiens	Faria et al	2018-03-02
MT497525	MT497525	2017-01-21	Brazil	Sudeste	São Paulo	Ribeirão Preto	10172	Non-human primate	Alouatta sp.	Hill et al	2020-05-19
MH484434	MH484434	2017-01-22	Brazil	Sudeste	Minas Gerais	São João Evangelista	10169	Human	Homo sapiens	Faria et al	2018-06-13
ON022456	ON022456	2017-01-23	Brazil	Sudeste	Espírito Santo	Itarana	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MH484432	MH484432	2017-01-23	Brazil	Sudeste	Minas Gerais	Bom Jesus do Galho	9763	Non-human primate	Alouatta sp.	Faria et al	2018-06-13
ON022581	ON022581	2017-01-23	Brazil	Sudeste	São Paulo	Ribeirão Preto	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH666057	MH666057	2017-01-23	Brazil				10185	Non-human primate	Alouatta sp.	Cunha et al	2018-07-24
MK882601	MK882601	2017-01-24	Brazil	Sudeste	Espírito Santo	Ibatiba	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
MH018114	MH018114	2017-01-24	Brazil	Sudeste	Espírito Santo	Itarana	10233	Non-human primate	nonhuman primate	Faria et al	2018-03-02
ON022238	ON022238	2017-01-24	Brazil	Sudeste	Espírito Santo	Pancas	10233	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022461	ON022461	2017-01-24	Brazil	Sudeste	Espírito Santo	Santa Teresa	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MH018115	MH018115	2017-01-24	Brazil	Sudeste	Espírito Santo	Venda Nova do Imigrante	10233	Non-human primate	nonhuman primate	Faria et al	2018-03-02
MH484427	MH484427	2017-01-24	Brazil	Sudeste	Minas Gerais	Felício dos Santos	10169	Non-human primate	Callithrix sp.	Faria et al	2018-06-13
MH484423	MH484423	2017-01-24	Brazil	Sudeste	Minas Gerais	José Raydan	9475	Non-human primate	Callithrix sp.	Faria et al	2018-06-13
MH484424	MH484424	2017-01-24	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10169	Human	Homo sapiens	Faria et al	2018-06-13
ON022303	ON022303	2017-01-24	Brazil	Sudeste	São Paulo	Ribeirão Preto	10096	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022536	ON022536	2017-01-25	Brazil	Sudeste	Espírito Santo	Ibatiba	10172	Human	Homo sapiens	Hill et al	2022-03-16
MF170976	MF170976	2017-01-25	Brazil	Sudeste	Espírito Santo	Laranja da Terra	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
MH018098	MH018098	2017-01-25	Brazil	Sudeste	Minas Gerais	Chapada Gaúcha	10213	Non-human primate	Cebidae sp.	Faria et al	2018-03-02
MH018097	MH018097	2017-01-25	Brazil	Sudeste	Minas Gerais	Luisburgo	10212	Non-human primate	Callicebus sp.	Faria et al	2018-03-02
MH018071	MH018071	2017-01-25	Brazil	Sudeste	Minas Gerais	Novo Cruzeiro	9925	Human	Homo sapiens	Faria et al	2018-03-02
MF185660	MF185660	2017-01-25	Brazil	Sudeste	Rio de Janeiro	São Sebastião do Alto	7969	Non-human primate	New World monkey	Moreira-Soto et al	2017-06-01
ON022535	ON022535	2017-01-26	Brazil	Sudeste	Espírito Santo	Ibatiba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022464	ON022464	2017-01-26	Brazil	Sudeste	Espírito Santo	Santa Teresa	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
ON022538	ON022538	2017-01-27	Brazil	Sudeste	Espírito Santo	Baixo Guandu	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022723	ON022723	2017-01-27	Brazil	Sudeste	Espírito Santo	Santa Teresa	10172	Non-human primate	Non-human primate	Hill et al	2022-03-16
MH018092	MH018092	2017-01-27	Brazil	Sudeste	Minas Gerais	Itambacuri	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH484425	MH484425	2017-01-27	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10169	Human	Homo sapiens	Faria et al	2018-06-13
MH018079	MH018079	2017-01-28	Brazil	Sudeste	Minas Gerais	Itambacuri	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018080	MH018080	2017-01-28	Brazil	Sudeste	Minas Gerais	Ladainha	10213	Human	Homo sapiens	Faria et al	2018-03-02
MH018105	MH018105	2017-01-28	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10194	Human	Homo sapiens	Faria et al	2018-03-02
ON022532	ON022532	2017-01-29	Brazil	Sudeste	Espírito Santo	Ibatiba	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022524	ON022524	2017-01-30	Brazil	Sudeste	Espírito Santo	Laranja da Terra	10172	Human	Homo sapiens	Hill et al	2022-03-16
MH018104	MH018104	2017-01-30	Brazil	Sudeste	Minas Gerais	Itambacuri	10195	Human	Homo sapiens	Faria et al	2018-03-02
MH018103	MH018103	2017-01-30	Brazil	Sudeste	Minas Gerais	Novo Cruzeiro	10194	Human	Homo sapiens	Faria et al	2018-03-02
MH018091	MH018091	2017-01-30	Brazil	Sudeste	Minas Gerais	Novo Cruzeiro	10213	Human	Homo sapiens	Faria et al	2018-03-02
MF170971	MF170971	2017-01-30	Brazil	Sudeste	Minas Gerais	São Roque de Minas	10236	Non-human primate	New World monkey	Moreira-Soto et al	2017-05-26
MH018094	MH018094	2017-01-30	Brazil	Sudeste	Minas Gerais	Simonésia	10213	Human	Homo sapiens	Faria et al	2018-03-02
MK882602	MK882602	2017-01-31	Brazil	Sudeste	Espírito Santo	Domingos Martins	9763	Human	Homo sapiens	Giovanetti et al	2019-05-03
MH018102	MH018102	2017-01-31	Brazil	Sudeste	Espírito Santo	Domingos Martins	10215	Non-human primate	nonhuman primate	Faria et al	2018-03-02
MK249065	MK249065	2017-02-01	Brazil				10164	Human	Homo sapiens	Iani et al	2018-11-30
MH484429	MH484429	2017-02-03	Brazil	Sudeste	Minas Gerais	Chapada Gaúcha	10169	Non-human primate	Callithrix sp.	Faria et al	2018-06-13
MH484433	MH484433	2017-02-03	Brazil	Sudeste	Minas Gerais	São Roque de Minas	9763	Non-human primate	monkey	Faria et al	2018-06-13
MH484428	MH484428	2017-02-05	Brazil	Sudeste	Minas Gerais	Teófilo Otoni	10169	Human	Homo sapiens	Faria et al	2018-06-13
ON022537	ON022537	2017-02-06	Brazil	Sudeste	Espírito Santo	Vitória	10172	Human	Homo sapiens	Hill et al	2022-03-16
MK882599	MK882599	2017-02-09	Brazil	Sudeste	Espírito Santo	Itarana	9763	Human	Homo sapiens	Giovanetti et al	2019-05-03
MH018084	MH018084	2017-02-09	Brazil	Sudeste	Minas Gerais	Ladainha	10213	Non-human primate	Callithrix sp.	Faria et al	2018-03-02
MH484430	MH484430	2017-02-09	Brazil	Sudeste	Minas Gerais	Sacramento	10169	Non-human primate	Callithrix sp.	Faria et al	2018-06-13
ON022539	ON022539	2017-02-10	Brazil	Sudeste	Espírito Santo	Aracruz	10172	Human	Homo sapiens	Hill et al	2022-03-16
MF170977	MF170977	2017-02-10	Brazil	Sudeste	Espírito Santo	Conceição do Castelo	10236	Human	Homo sapiens	Moreira-Soto et al	2017-05-26
ON022528	ON022528	2017-02-12	Brazil	Sudeste	Espírito Santo	Cachoeiro de Itapemirim	10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022375	ON022375	2017-02-12	Brazil	Sudeste	Minas Gerais	Alvorada de Minas	10172	Non-human primate	Cebidae	Hill et al	2022-03-16
MH018067	MH018067	2017-02-13	Brazil	Sudeste	Minas Gerais	Caldas	10213	Non-human primate	Cebidae sp.	Faria et al	2018-03-02
ON022730	ON022730	2017-02-14	Brazil	Sudeste	Espírito Santo	Muniz Freira	9884	Human	Homo sapiens	Hill et al	2022-03-16
MH018065	MH018065	2017-02-14	Brazil	Sudeste	Minas Gerais	Delfinópolis	10213	Non-human primate	Cebidae sp.	Faria et al	2018-03-02
MH484431	MH484431	2017-02-14	Brazil	Sudeste	Minas Gerais	Juatuba	9763	Non-human primate	monkey	Faria et al	2018-06-13
MH018066	MH018066	2017-02-15	Brazil	Sudeste	Minas Gerais	Ouro Fino	10213	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MH018064	MH018064	2017-02-15	Brazil	Sudeste	Minas Gerais	Santa Rita de Caldas	10213	Non-human primate	Alouatta sp.	Faria et al	2018-03-02
MN117917	MN117917	2017-02-15	Brazil				10172	Mosquito	Ochlerotatus scapularis	Cunha et al	2019-06-28
MK882604	MK882604	2017-02-16	Brazil	Sudeste	Espírito Santo	Brejetuba	10169	Human	Homo sapiens	Giovanetti et al	2019-05-03
